File	Status	Error	Details
S_AMBIVALENT_ATTACHMENT_SPEECH_MARKER.yaml	SUCCESS		Normalized with 5 examples
AMBIVALENCE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_ROUTINE_GREETING_MARKER.yaml	SUCCESS		Normalized with 6 examples
C_EMO_INSTABILITY_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_PERSISTENT_TENSION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_AUSDRUCK_VORFREUDE_MARKER.yaml	SUCCESS		Normalized with 31 examples
A_GENERALIZED_ACCUSATION_MARKER.yaml	SUCCESS		Normalized with 20 examples
S_EMO_CONTRAST_DRIFT_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_PER_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_ENTITY_RICH_TOPIC_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_DESTRUCTIVE_SELF_PROTECTION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_SCARCITY_TIMER_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_HOPEFUL_FORWARD_LOOKING.yaml	SUCCESS		Normalized with 5 examples
S_RESONANCE_TACTICS_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_OFFENDED_SILENCE_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_RESPONSIBILITY_SHIFT_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_ANXIOUS_CHILDHOOD_REF_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_EMO_MEAN_LOW_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_RECONCILIATION.yaml	SUCCESS		Normalized with 5 examples
MM_RELATIONAL_DELEGATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_MISC_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_STELLVERTRETERKONFLIKT_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_EMO_SLOPE_UP_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_DESTRUCTIVE_CRITICISM_MARKER.yaml	SUCCESS		Normalized with 20 examples
C_ATTACHMENT_STYLE_SECURE_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_DYNAMICS_KNOTS.yaml	SUCCESS		Normalized with 5 examples
A_CONTRAST_CONJUNCTION.yaml	SUCCESS		Normalized with 5 examples
A_MIXED_SCRIPT_TOKEN_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_FEIGNED_FORGETFULNESS_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_POWER_PLAY_MARKER.yaml	SUCCESS		Normalized with 20 examples
C_DOMINANCE_BEHAVIOR_PATTERN_MARKER.yaml	SUCCESS		Normalized with 20 examples
MM_LOVE_BOMBING_MARKER.yaml	QUARANTINED	NORMALIZATION_ERROR	'dict' object has no attribute 'startswith'
S_GUILT_TWIST_MARKER.yaml	SUCCESS		Normalized with 20 examples
ESCALATION_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_BLAME_SHIFT_RESPONSE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_FIRSTTIME_CLAUSE_MARKER.yaml	SUCCESS		Normalized with 5 examples
MICRO_TEASE.yaml	SUCCESS		Normalized with 5 examples
- "🙄".yaml	SUCCESS		Normalized with 5 examples
C_FLIRTING_DYNAMICS_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_DESTRUCTIVE_RELATIONAL_PATTERNS_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_HELPLESSNESS.yaml	SUCCESS		Normalized with 5 examples
A_POSITIVE_CAREGIVER_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_TEAM_METAPHOR_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_SELF_DISCLOSURE_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_BLAME_SHIFT_EXPRESSIONS_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_HIGH_PERSON_DENSIT_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_CIRCULAR_ARGUMENT_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_FRIENDLY_FLIRT.yaml	SUCCESS		Normalized with 5 examples
C_INNER_EMPTINESS_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_SELF_PITY.yaml	SUCCESS		Normalized with 5 examples
C_GROWING_CONNECTION_CLUSTER.yaml	SUCCESS		Normalized with 5 examples
A_ANTICIPATION_EXPRESSION.yaml	SUCCESS		Normalized with 5 examples
C_INDIRECT_CONFLICT_AVOIDANCE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_JOINT_PLANNING_MARKER.yaml	SUCCESS		Normalized with 30 examples
S_SUSTAINED_CONTACT_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_MICRO_VALIDATION_LOOP_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_CARING_FRIEND_EXPRESSIONS_MARKER.yaml	SUCCESS		Normalized with 5 examples
C_THERAPEUTIC_MIRRORING_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_MANIPULATIVE_RELATIONSHIP_ENGINEERING_MARKER.yaml	QUARANTINED	NORMALIZATION_ERROR	'dict' object has no attribute 'startswith'
A_UNILATERAL_DECISION_MARKER.yaml	SUCCESS		Normalized with 20 examples
MM_ATTACHMENT_PROFILE_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_UNPREDICTABLE_CAREGIVER_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_RAPID_SELF_DISCLOSURE2_MARKER.yaml	QUARANTINED	NORMALIZATION_ERROR	'dict' object has no attribute 'startswith'
S_AVOIDANT_CHILDHOOD_REF_MARKER.yaml	SUCCESS		Normalized with 5 examples
A_SVT_APPELL_DIREKT_MARKER.yaml	SUCCESS		Normalized with 5 examples
MM_RELATIONSHIP_STRAIN_MARKER.yaml	SUCCESS		Normalized with 5 examples
S_ACTION_ORIENTED_SPEECH.yaml	SUCCESS		Normalized with 5 examples
A_UNDERSTANDING.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_IF_YOU_WANT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_FLIRT_DANCE_DRIFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SECRET_BONDING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_RELATIONAL_DESTABILIZATION_LOOP_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_APPEAL_TO_AUTHORITY_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_HOPEFUL_DRIVING_TONE.yaml	QUALIFIED		Score: 100.0 (Excellent)
AROUSAL_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_POSITIVE_INITIATIVE.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_PERSONAL_SECRET_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SUBTLE_SARCASM_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_REPETITIVE_COMPLAINT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
TERMINATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SUSTAINED_CONTACT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_EMOTION_DYNAMICS_RISK_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_AUTONOMOUS_FIELD_STRUCTURING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_TOGETHERNESS_TERMS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_UNCERTAINTY_PHRASE.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_SECURE_CHILDHOOD_REF_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_MARKERENGINE_BUSINESS_CASE.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_CERTAINTY_PHRASE.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SWAYING.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EMO_VOLATILE_WINDOW_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_ORG_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_CRITICISM_ATTACK_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_EMOTIONAL_INVALIDATION.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_BLAME_SHIFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_RESONANZ_AUF_KOSENAME_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_DEFENSIVE_JUSTIFICATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_FIRST_TIME_DEPTH_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SYMBOLIC_SUPPORT_FIELD.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_ATTACHMENT_STYLE_AVOIDANT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
FLUCTUATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_ABBRUCHMARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_PASSIVE_AGGRESSIVE_WITHDRAWAL_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_Emotional_ESPAW.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_PARTIAL_DISCLOSURE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SELF_RELIANCE_EARLY_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
INTEGRATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_BRO_LIKE_CALLING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EMO_SLOPE_DOWN_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EMO_CONTRAST_DRIFT.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_WACHSENDE_VERBINDUNG_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_MARKERENGINE_CI_RELEASE.yaml	QUALIFIED		Score: 100.0 (Excellent)
UNCERTAINTY_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EXPLICIT_CONNECTION.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_KISS_KEYWORD_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_PASSIVE_AGGRESIVE.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_CRITICISM_DEFENSIVENESS_LOOP_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_EMOJI_SUPPORT.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_FRIENDSHIP_SIGNALING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_CONTRAST_CONJUNCTION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SYMBOL_LANGUAGES.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_EMO_HIGH_VALENCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_EMO_LOW_VALENCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SOFT_FLIRT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_ATTACHMENT_STYLE_ANXIOUS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_DEVALUING_STATEMENT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_LOC_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SVT_MESSAGE_INCONGRUENCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_RIVALRY_MENTION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_EMO_VOLATILE_WINDOW_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_UNRESOLVED_ISSUE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_SELF_PROTECTION_DECEPTION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_CALL_TO_ACTION.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_REALITY_SHIFT.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_HIGH_SIMILARITY_DUPLICATE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_MEANING_CRISIS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_INITIATIVE_GEMEINSAME_ZUKUNFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SVT_BEZIEHUNG_DU_BOTSCHAFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_DAILY_GREETING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_UNCERTAINTY_PHRASE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_RELATIONAL_STABILITY_FRIENDSHIP_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_POSITIVE_RESONANCE_ON_PET_NAME_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_PASSIVE_AGGRESSIVE_ATTACK_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_DESTRUCTIVE_CONFLICT_DYNAMICS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_INFORMATION_DENSITY_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SOFT_COMMITMENT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
CONNECTION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_HIGH_PRESSURE_DEMAND_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_DEFENSIVENESS_SHIFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_FEELING_CONNECTION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SELF_PROTECTION_TACTICS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_NEGATIVE_CAREGIVER_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_ADAPTIVE_POLARIZATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_INVITING_RESONANCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_INTERACTIVE_STONEWALLING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_POSITIVE_RESONANCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_AMBIVALENT_ATTACHMENT_SPEECH_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
AMBIVALENCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_ROUTINE_GREETING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_EMO_INSTABILITY_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_PERSISTENT_TENSION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_AUSDRUCK_VORFREUDE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_GENERALIZED_ACCUSATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EMO_CONTRAST_DRIFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_PER_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_ENTITY_RICH_TOPIC_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_DESTRUCTIVE_SELF_PROTECTION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SCARCITY_TIMER_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_HOPEFUL_FORWARD_LOOKING.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_RESONANCE_TACTICS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_OFFENDED_SILENCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_RESPONSIBILITY_SHIFT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_ANXIOUS_CHILDHOOD_REF_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EMO_MEAN_LOW_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_RECONCILIATION.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_RELATIONAL_DELEGATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_MISC_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_STELLVERTRETERKONFLIKT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_EMO_SLOPE_UP_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_DESTRUCTIVE_CRITICISM_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_ATTACHMENT_STYLE_SECURE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_DYNAMICS_KNOTS.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_CONTRAST_CONJUNCTION.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_MIXED_SCRIPT_TOKEN_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_FEIGNED_FORGETFULNESS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_POWER_PLAY_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_DOMINANCE_BEHAVIOR_PATTERN_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_GUILT_TWIST_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
ESCALATION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_BLAME_SHIFT_RESPONSE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_FIRSTTIME_CLAUSE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MICRO_TEASE.yaml	QUALIFIED		Score: 100.0 (Excellent)
- "🙄".yaml	QUALIFIED		Score: 100.0 (Excellent)
C_FLIRTING_DYNAMICS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_DESTRUCTIVE_RELATIONAL_PATTERNS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_HELPLESSNESS.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_POSITIVE_CAREGIVER_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_TEAM_METAPHOR_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_SELF_DISCLOSURE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_BLAME_SHIFT_EXPRESSIONS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_HIGH_PERSON_DENSIT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_CIRCULAR_ARGUMENT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_FRIENDLY_FLIRT.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_INNER_EMPTINESS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_SELF_PITY.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_GROWING_CONNECTION_CLUSTER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_ANTICIPATION_EXPRESSION.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_INDIRECT_CONFLICT_AVOIDANCE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_JOINT_PLANNING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_SUSTAINED_CONTACT_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_MICRO_VALIDATION_LOOP_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
S_CARING_FRIEND_EXPRESSIONS_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
C_THERAPEUTIC_MIRRORING_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_UNILATERAL_DECISION_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
MM_ATTACHMENT_PROFILE_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
A_UNPREDICTABLE_CAREGIVER_MARKER.yaml	QUALIFIED		Score: 100.0 (Excellent)
